Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,201.0,8.0,25.0,808.0,0.1,190.26739384789173,0.0,0.0,173.96724009513855,,,,,,,,,,,,,,,,,,,,,82.42803412706554,67.4256445031036,188.5836717545525,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,220.0,9.0,19.0,827.0,0.1,167.5116823528512,0.0,0.0,175.97388577461243,,,,,,,,,,,,,,,,,,,,,83.5346577864327,57.49160874660445,166.25687134071913,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,252.0,10.0,32.0,859.0,0.1,356.8466355649286,0.0,0.0,179.1522307395935,,,,,,,,,,,,,,,,,,,,,177.9359602712948,120.45277306276903,351.856045070343,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,275.0,11.0,23.0,882.0,0.1,225.38794873545115,0.0,0.0,181.45105910301208,,,,,,,,,,,,,,,,,,,,,105.80535123303363,77.06042838900011,223.40100426461638,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,300.0,12.0,25.0,907.0,0.1,245.1844873270941,0.0,0.0,184.04348063468933,,,,,,,,,,,,,,,,,,,,,113.88445303753186,84.72330245870319,242.82277873584886,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,318.0,13.0,18.0,925.0,0.1,138.9482591493169,0.0,0.0,185.89041137695312,,,,,,,,,,,,,,,,,,,,,65.62049870649304,47.16932152414425,138.0430382059738,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,349.0,14.0,31.0,956.0,0.1,263.91689003904185,0.0,0.0,189.09271097183228,,,,,,,,,,,,,,,,,,,,,106.80422770776708,91.50659262653275,261.1279537596667,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,364.0,15.0,15.0,971.0,0.1,73.74883238922962,0.0,0.0,190.66117310523987,,,,,,,,,,,,,,,,,,,,,30.310897278073913,25.919190013539193,73.44097744396899,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,384.0,16.0,20.0,991.0,0.1,155.1685041446209,0.0,0.0,192.78666996955872,,,,,,,,,,,,,,,,,,,,,69.57412876512555,53.07277398414346,154.08503755939967,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,428.0,17.0,44.0,1035.0,0.1,227.95041130368685,0.0,0.0,197.00824189186096,,,,,,,,,,,,,,,,,,,,,68.03167097851576,78.05016003409004,225.40760758820113,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,466.0,18.0,38.0,1073.0,0.1,328.0723253761338,0.0,0.0,200.6845099925995,,,,,,,,,,,,,,,,,,,,,144.45690785342268,112.80774084237167,323.22909784429453,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
